college_name,location,num_courses_offered,college_rating,exams_accepted,exam_count,min_fees,max_fees,avg_fees,placement_rating,min_package,max_package,avg_package
Haldia Institute of Technology,Kolkata,28,4.1,JEE Main / WBJEEWBJEE JELET +2,4,3.15,5.83,4.49,3.8,,,
Shri Ram Murti Smarak College of Engineering and Technology,Bareilly,14,3.4,JEE Main / CBSE 12th / UP 12th / ISCSRMS EET +4,8,2.98,3.97,3.48,3.4,4.25,12.0,8.12
"MIT School of Computing, MIT-ADT University",Pune,11,4.3,MHT CETJEE Main / Uni-GAUGEPERA CET +3,5,12.72,12.72,12.72,4.0,,,
"Sardar Vallabhbhai National Institute of Technology, Surat",Surat,13,4.0,JEE Main / DASA UG,2,5.0,6.25,5.62,4.0,6.5,13.4,9.95
L D College of Engineering,Ahmedabad,16,4.3,JEE Main / GUJCET,2,8.49,8.49,8.49,4.3,5.75,5.75,5.75
IIT Dhanbad (ISM) - Indian Institute of Technology (ISM),Dhanbad,20,4.1,JEE Main / JEE Advanced,2,8.0,8.3,8.15,4.1,15.0,26.58,20.79
Sri Krishna College of Technology [SKCT],Coimbatore,10,4.2,CBSE 12th / ISCTamilnadu 12th +1,3,2.0,2.0,2.0,4.2,4.5,4.5,4.5
M.V.J. College of Engineering,Bangalore,15,3.9,JEE Main / COMEDK UGETKCET +2,4,7.12,18.26,12.69,3.6,,,
"Faculty of Technology, University of Delhi",Delhi - Other,3,3.4,JEE Main / CUET,2,4.32,4.32,4.32,3.4,8.5,8.5,8.5
Bennett University,Greater Noida,8,4.1,JEE Main / SAT India / NEET +2,5,15.38,19.3,17.34,3.8,,,
"Presidency University, Bangalore",Bangalore,19,3.7,COMEDK UGET,1,3.86,8.6,6.23,3.7,6.0,6.0,6.0
Gyan Ganga Institute of Technology and Science,Jabalpur,15,4.0,JEE Main / MPPETMP BECBSE 12th / ISCMPBSE 12th +5,8,1.4,1.4,1.4,4.0,4.0,4.0,4.0
"International Institute of Information Technology, Pune",Pune,3,3.9,MHT CETJEE Main,1,4.75,4.75,4.75,3.6,,,
St. Martin's Engineering College (SMEC Secunderabad),Secunderabad,12,4.1,TS EAMCETTSEd / CET,2,2.4,4.0,3.2,4.1,4.0,4.0,4.0
Rajeev Gandhi Memorial College of Engineering and Technology,Kurnool,11,3.7,AP EAMCETCBSE 12th / BIEAPAP ECET +3,5,2.38,3.04,2.71,3.7,4.25,4.25,4.25
M.Kumarasamy College of Engineering,Karur,12,4.0,CBSE 12th / ISCTamilnadu 12th +1,3,2.0,2.0,2.0,4.0,3.77,4.01,3.89
NIT - Narula Institute of Technology,Kolkata,22,4.2,JEE Main / WBJEEWBJEE JELETCEE AMPAI +3,5,3.66,7.0,5.33,4.2,5.0,5.0,5.0
IIEST Shibpur - Indian Institute of Engineering Science and Technology,Howrah,18,4.1,JEE Main / DASA UG,2,5.0,5.0,5.0,4.1,7.36,8.5,7.93
MANIT - Maulana Azad National Institute of Technology,Bhopal,10,4.1,JEE Main / DASA UG,2,5.0,5.0,5.0,4.1,10.0,10.0,10.0
Geethanjali College of Engineering and Technology,Ranga Reddy,11,4.2,TS EAMCET,1,1.05,4.8,2.92,4.2,3.6,3.6,3.6
"The ICFAI University, Tripura",Agartala,6,3.9,TJEE,1,3.45,4.6,4.03,3.5,,,
Stanley College of Engineering and Technology for Women,Hyderabad,7,4.3,TS EAMCET,1,3.4,3.4,3.4,4.3,5.0,5.0,5.0
NIT Agartala - National Institute of Technology,Agartala,11,4.1,JEE Main / DASA UG,2,3.5,5.0,4.25,4.1,7.0,7.0,7.0
Poornima University,Jaipur,17,4.0,JEE Main / CBSE 12th / ISCRBSE 12th +3,6,2.15,5.33,3.74,4.0,,,
Central University of Haryana,Haryana - Other,4,3.7,JEE Main / CUET,2,1.51,1.51,1.51,3.7,3.15,3.15,3.15
KPR Institute of Engineering and Technology,Coimbatore,14,4.4,CBSE 12th / ISCTamilnadu 12th +1,3,1.5,1.5,1.5,4.3,,,
Teerthanker Mahaveer University,Moradabad,25,4.1,JEE Main / UPCATCUET +2,4,2.43,5.62,4.03,4.1,3.96,4.5,4.23
VIT - Vidyalankar Institute of Technology,Mumbai,10,4.2,MHT CETJEE Main,1,5.45,5.48,5.46,4.2,4.0,4.0,4.0
Meerut Institute of Engineering and Technology,Meerut,16,4.1,JEE Main / UPTACCUETNTA +3,5,3.06,4.08,3.57,4.1,3.6,4.0,3.8
Mahavir Education Trust's Shah and Anchor Kutchhi Engineering College (SAKEC),Mumbai,10,3.8,MHT CETJEE Main,1,3.43,5.03,4.23,3.8,4.0,4.0,4.0
Alva's Institute of Engineering and Technology,Mangalore,11,4.1,COMEDK UGETKCET,1,3.2,10.0,6.6,4.1,6.0,6.0,6.0
"Delhi Technical Campus, Greater Noida",Greater Noida,5,3.7,JEE Main,1,4.58,6.24,5.41,3.6,,,
Thadomal Shahani Engineering College,Mumbai,5,3.9,MHT CETJEE Main,1,6.99,6.99,6.99,3.9,7.6,7.6,7.6
R.N.S. Institute of Technology,Bangalore,16,4.0,JEE Main / COMEDK UGETKCET +2,4,3.86,30.0,16.93,4.0,5.51,5.51,5.51
Arya College of Engineering and Information Technology,Jaipur,6,4.1,JEE Main,1,4.62,4.62,4.62,4.0,,,
Shobhit Institute of Engineering and Technology,Meerut,5,3.7,JEE Main / CUET,2,3.0,4.4,3.7,3.3,,,
K.S.R Institute For Engineering And Technology (KSRIET),Namakkal,8,4.1,CBSE 12th / ISCTamilnadu 12th +1,3,2.0,2.0,2.0,4.1,3.2,3.2,3.2
Shivajirao Kadam Institute of Technology & Management,Indore,8,3.6,JEE Main / MP BEMPPET +2,4,1.2,1.2,1.2,3.6,,,
"Poornima College of Engineering, Poornima Group of Colleges",Jaipur,16,3.9,JEE Main / REAP,2,1.17,3.26,2.22,3.9,,,
"Annamacharya Institute of Technology and Sciences,Rajampet",Kadapa,6,4.0,AP EAMCET,1,1.71,1.71,1.71,4.0,4.3,4.3,4.3
Narasaraopeta Engineering College (Autonomous),Guntur,11,4.0,JEE Main / AP EAMCET,2,2.95,2.95,2.95,3.8,,,
K. Ramakrishnan College of Technology,Tiruchirappalli,7,4.2,CBSE 12th / ISCTamilnadu 12th +1,3,2.0,2.0,2.0,4.2,4.68,5.12,4.9
Khalsa College of Engineering and Technology,Amritsar,5,3.6,CBSE 12th / ISCPSEB 12th +1,3,2.4,2.4,2.4,3.6,5.2,5.2,5.2
MVIT - Manakula Vinayagar Institute of Technology,Pondicherry,10,3.9,CENTAC,1,1.7,1.83,1.76,3.9,4.58,4.58,4.58
