college_name,location,num_courses_offered,college_rating,exams_accepted,exam_count,min_fees,max_fees,avg_fees,placement_rating,min_package,max_package,avg_package
Annai Mira College of Engineering And Technology,Vellore,12,4.1,CBSE 12th / ISCTamilnadu 12th +1,3,1.2,2.0,1.6,4.0,,,
Rajasthan College of Engineering for Women (RCEW),Jaipur,5,4.5,JEE Main / REAP,2,2.1,2.69,2.4,4.6,,,
R.P. Sharma Institute of Technology,Patna,6,3.0,CBSE 12th / ISCBSEB 12th +1,3,2.55,3.4,2.97,2.6,,,
"College of Engineering, Cherthala",Kerala - Other,6,4.0,KEAM,1,2.6,2.6,2.6,4.0,3.6,3.6,3.6
Lakshmi Narain College of Technology Excellence,Bhopal,8,4.2,JEE Main / MPPETMP BECBSE 12th / ISCMPBSE 12th +5,8,1.74,1.88,1.81,4.2,4.5,4.5,4.5
Jorhat Institute of Science and Technology,Jorhat,4,3.5,JEE Main / JEE Advanced / Assam CEE +2,5,39.04,39.04,39.04,2.9,,,
AGMR College of Engineering and Technology (AGMR),Hubli,7,3.8,COMEDK UGETKCET,1,7.44,7.44,7.44,3.8,,,
Dr. Lankapalli Bullayya College,Visakhapatnam,4,4.1,AP EAMCETCBSE 12th / BIEAP +2,4,1.87,1.87,1.87,4.1,4.5,4.5,4.5
Shree Siddheshwar Women's College of Engineering,Solapur,7,4.7,MHT CETJEE Main,1,2.58,2.58,2.58,4.5,,,
Navkis College of Engineering,Hassan,9,3.8,COMEDK UGETKCET,1,2.8,8.89,5.85,3.7,,,
Sriram Engineering College,Chennai,12,3.2,CBSE 12th / ISCTamilnadu 12th +1,3,1.57,2.0,1.78,2.5,,,
DRK Institute Science and Technology,Hyderabad,9,3.1,TS EAMCETCBSE 12th / ISCTSBIE +3,5,1.65,2.4,2.02,3.0,,,
"University College of Engineering - Kakatiya University, Kothagudem",Telangana - Other,5,3.5,TS EAMCET,1,1.4,2.8,2.1,3.1,,,
Mahamaya College of Agriculture Engineering and Technology - Narendra Deo University of Agriculture and Technology,Uttar Pradesh - Other,3,2.2,JEE Main / UPTACICAR AIEEAUPCATET +3,5,1.5,1.5,1.5,2.0,,,
Maharaja Agrasen College of Engineering and Technology,Amroha,5,4.4,JEE Main / UPTAC,2,2.45,2.45,2.45,3.0,,,
"College of Engineering, Muttathara",Thiruvananthapuram,6,3.9,KEAM,1,2.6,2.6,2.6,3.9,,,
Dr. Babasaheb Ambedkar College of Engineering and Research,Nagpur,7,3.8,MHT CETJEE Main,1,3.6,3.6,3.6,3.6,,,
Shri Madhwa Vadiraja Institute of Technology and Management (SMVITM),Karnataka - Other,8,3.7,COMEDK UGETKCET,1,2.49,7.44,4.96,3.7,3.77,3.77,3.77
Rayat-Bahra University [RBU] powered by Sunstone,Mohali,5,4.2,CBSE 12th / ISCPSEB 12th +1,3,5.05,5.3,5.18,3.0,,,
"Government Engineering College, Bhuj",Kutch District,7,3.9,JEE Main / GUJCET,2,6.0,6.0,6.0,3.1,,,
Doon Group of Institutions,Dehradun,5,3.8,JEE Main,1,2.0,2.0,2.0,3.7,,,
Sri Ranganathar Institute Of Engineering And Technology,Coimbatore,7,4.0,CBSE 12th / ISCTamilnadu 12th +1,3,2.0,2.0,2.0,3.9,,,
Adikavi Nannaya University (AKNUDOA),Rajahmundry,7,3.8,JEE Main / AP EAMCET,2,1.4,1.4,1.4,3.8,4.8,4.8,4.8
Sri Venkateswaraa College of Technology,Tamil Nadu - Other,14,3.3,CBSE 12th / ISCTamilnadu 12th +1,3,1.35,2.0,1.68,3.1,,,
"Government Engineering College, Kushal Nagar",Karnataka - Other,4,3.4,KCET,1,1.63,1.63,1.63,3.0,,,
"Techno College of Engineering, Agartala",Agartala,9,3.5,TJEE,1,3.48,3.56,3.52,3.4,,,
"Giani Zail Singh College of Engineering and Technology, Maharaja Ranjit Singh Punjab Technical University",Bathinda,12,3.1,JEE Main,1,2.42,3.6,3.01,3.1,4.5,4.5,4.5
Gyan Ganga College of Technology (GGCT),Jabalpur,7,3.9,JEE Main / MP BEMPPET +2,4,1.2,1.2,1.2,3.8,,,
Jayamukhi Institute of Technological Sciences (JITS),Warangal,9,3.8,TS EAMCET,1,2.4,2.4,2.4,3.3,,,
Green Hills Engineering College,Solan,12,3.0,JEE Main / HPCET,2,2.48,2.99,2.74,2.5,,,
"Bhagwan Mahavir College Of Engineering And Technology, Bhagwan Mahavir University",Surat,10,3.9,JEE Main / GUJCET,2,2.68,3.04,2.86,3.2,,,
Aurora's Technological and Research Institute,Hyderabad,9,3.6,TS EAMCET,1,2.88,2.88,2.88,3.6,8.01,8.01,8.01
Ballarpur Institute of Technology (BIT Maharashtra),Chandrapur,7,3.5,MHT CETJEE Main,1,3.36,3.4,3.38,2.9,,,
Vemu Institute of Technology,Chittoor,10,4.0,AP EAMCET,1,1.51,1.72,1.62,4.0,3.72,3.72,3.72
Indian Institute of Carpet Technology,Uttar Pradesh - Other,2,3.7,JEE Main / UPTAC,2,1.2,1.6,1.4,3.7,3.0,3.0,3.0
JSPM’s Bhagwant Institute of Technology,Maharashtra - Other,5,3.9,MHT CETJEE Main,1,2.08,2.08,2.08,3.5,,,
Providence College of Engineering - PCE,Kerala - Other,12,3.9,KEAMDTE Kerala LET,1,1.5,2.0,1.75,4.0,,,
Ramgovind Institute of Technology,Jharkhand - Other,6,3.4,JEE Main / JEECE,2,1.02,1.36,1.19,2.9,,,
"Shri Hanuman Vyayam Prasarak Mandal, College of Engineering and Technology",Amravati,5,3.7,MHT CETJEE Main,1,2.14,2.97,2.56,3.7,3.0,3.0,3.0
KLS Vishwanathrao Deshpande Institute of Technology,Haliyal,7,3.8,COMEDK UGETKCET,1,7.44,7.44,7.44,3.8,3.15,3.42,3.28
"Swarna Bharathi Institute of Science and Technology (SBIST, Khammam)",Khammam,10,4.0,TS EAMCETTSEd / CET,2,2.0,2.67,2.34,3.6,,,
"College of Engineering, Kidangoor",Kottayam,8,3.7,KEAM,1,2.6,2.6,2.6,3.7,3.5,3.5,3.5
"Gateway Institute of Engineering and Technology, Gateway Education",Sonepat,4,3.7,JEE Main / HSTES,2,2.34,4.81,3.58,3.7,7.0,7.0,7.0
Manav Institute,Hisar,8,4.6,JEE Main / HSTES,2,1.53,1.88,1.7,5.0,,,
Global Institute of Engineering and Technology (GIET Telangana),Ranga Reddy,7,3.3,TS EAMCET,1,2.0,2.8,2.4,3.3,2.95,2.95,2.95
ABIT - Ajay Binay Institute of Technology,Cuttack,13,3.9,JEE Main / OJEE,2,2.35,3.0,2.68,3.9,2.1,2.1,2.1
"Government Engineering College, Mananthavady",Wayanad,6,3.6,KEAM,1,34.6,34.6,34.6,3.1,,,
Brahma Valley College of Engineering and Research Institute,Nashik,4,2.6,MHT CETJEE Main,1,2.96,2.96,2.96,2.2,,,
"Shree Swaminarayan Institute of Technology, Gandhinagar",Gandhinagar,7,3.5,JEE Main / GUJCET,2,2.69,2.69,2.69,3.2,,,
Watumull Institute of Electronics Engineering and Computer Technology,Ulhasnagar,3,2.6,MHT CETJEE Main,1,5.6,5.6,5.6,2.5,,,
"Government College of Engineering and Technology, Jammu",Jammu & Kashmir - Other,5,3.2,JKCET,1,1.86,1.86,1.86,3.2,3.0,3.0,3.0
Shree Swami Atmanand Saraswati Institute of Technology,Surat,8,3.5,JEE Main / GUJCET,2,3.21,3.21,3.21,3.5,2.35,2.35,2.35
NGF College of Engineering and Technology,Faridabad,14,3.2,JEE Main / HSTES,2,76.0,1.84,38.92,2.7,,,
Park College of Engineering and Technology - PCET,Coimbatore,16,2.7,CBSE 12th / ISCTamilnadu 12th / IMUCET +2,5,2.0,2.0,2.0,2.7,2.95,2.95,2.95
The Gandhigram Rural Institute,Tamil Nadu - Other,1,3.8,CUET,1,19.2,19.2,19.2,3.8,2.4,2.4,2.4
Kalol Institute and Research Center,Gandhinagar,7,3.4,JEE Main / GUJCET,2,2.2,2.2,2.2,2.6,,,
Bansal Institute of Research  Technology and Science,Bhopal,5,4.4,JEE Main / MP BEMPPET +2,4,1.2,1.2,1.2,4.4,,,
"College of Engineering and Technology, Mahatma Gandhi Mission's Trust",Noida,6,2.6,JEE Main / UPTAC,2,2.2,2.97,2.58,2.2,,,
Hirasugar Institute of Technology - HSIT,Belgaum,6,4.0,COMEDK UGETKCET,1,1.5,3.86,2.68,4.0,3.3,3.3,3.3
AWH Engineering College,Calicut,8,3.4,KEAM,1,2.0,2.25,2.12,2.7,,,
Sushila Devi Bansal College of Engineering,Indore,6,3.6,JEE Main / MP BEMPPET +2,4,90.0,1.12,45.56,3.5,,,
Bomma Institute of Technology and Science,Khammam,6,3.5,TS EAMCET,1,2.52,2.52,2.52,3.6,,,
"Techno Engineering College, Banipur",Kolkata,5,3.9,JEE Main / WBJEE,2,3.0,4.15,3.58,3.9,3.5,3.5,3.5
West Bengal University of Animal and Fishery Sciences,Kolkata,1,3.8,JEE Main / WBJEEICAR AIEEA +2,4,55.63,55.63,55.63,4.8,,,
Anuradha Engineering College,Maharashtra - Other,5,3.6,MHT CETJEE Main,1,2.73,2.73,2.73,3.3,,,
P.V.K.K Institute of Technology,Anantapur,9,4.1,AP EAMCET,1,1.4,1.72,1.56,3.9,,,
Beant College of Engineering and Technology,Punjab - Other,8,3.4,CBSE 12th / ISCPSEB 12th +1,3,2.42,3.18,2.8,2.6,,,
B.S.A. College of Engineering and Technology,Mathura,12,3.4,JEE Main / UPTACCUET +2,4,2.45,2.45,2.45,3.1,,,
Apollo Engineering College,Chennai,13,3.5,CBSE 12th / ISCTamilnadu 12th +1,3,2.0,2.55,2.28,3.1,,,
KVG College of Engineering,Sullia,8,3.5,COMEDK UGETKCET,1,3.86,7.44,5.65,3.0,,,
Vaageswari College of Engineering,Karimnagar,8,4.3,TS EAMCET,1,2.2,2.2,2.2,4.3,2.4,2.4,2.4
HIET Group of Institutions,Dharamsala,5,3.2,JEE Main / HPCET,2,2.16,2.16,2.16,2.7,,,
"Ideal Institute of Technology, Vidyut Nagar",Kakinada,8,4.0,AP EAMCET,1,1.4,1.72,1.56,3.8,,,
Babu Banarasi Das Engineering College,Lucknow,3,3.9,CBSE 12th / UP 12th / ISC +2,5,2.45,2.45,2.45,3.5,,,
"Vadodara Institute Of Engineering, Waghodiya",Vadodara,5,3.8,JEE Main / GUJCET,2,2.56,2.56,2.56,3.6,,,
Delhi Institute of Technology and Management,Sonepat,4,3.6,JEE Main / HSTES,2,2.32,2.32,2.32,3.0,,,
"Government Engineering College, Palanpur",Palanpur,5,3.6,JEE Main / GUJCET,2,6.0,6.0,6.0,3.6,1.92,1.92,1.92
Shri Ram College of Engineering and Management,Haryana - Other,7,3.5,JEE Main / HSTES,2,1.84,2.25,2.04,2.9,,,
Monark University,Ahmedabad,10,4.6,CBSE 12th / ISCGSEB HSC +1,3,2.44,2.44,2.44,5.0,,,
Infinity Management and Engineering College,Madhya Pradesh - Other,8,3.6,JEE Main / MP BEMPPETCBSE 12th / ISCMPBSE 12th +5,8,96.0,1.44,48.72,2.7,,,
BITM - Bengal Institute of Technology and Management,Kolkata,9,3.3,JEE Main / WBJEE,2,2.67,3.56,3.12,2.6,,,
Manikya Lal Verma Textile and Engineering College (MLVTEC),Bhilwara,7,3.8,JEE Main / REAP,2,1.96,1.96,1.96,3.7,,,
Dr. Daulatrao Aher College of Engineering - Dr. Ashok Gujar Technical Institute,Maharashtra - Other,7,3.8,MHT CETJEE Main,1,1.76,2.69,2.22,3.3,,,
Mohandas College of Engineering and Technology,Thiruvananthapuram,10,3.9,KEAM,1,2.0,2.25,2.12,3.9,2.65,2.65,2.65
Kamala Institute of Technology and Science,Karimnagar,10,4.5,TS EAMCET,1,2.42,3.6,3.01,4.5,3.8,3.8,3.8
Malla Reddy Institute of Technology and Science,Secunderabad,9,3.9,TS EAMCET,1,2.6,3.2,2.9,3.9,4.0,4.0,4.0
Marwadi Education Foundation's Group of Institutions (MEFGI),Rajkot,22,4.3,JEE Main / GUJCET,2,3.56,3.56,3.56,4.0,,,
"K L E S`s K L E College of Engineering and Technology, Chikodi",Karnataka - Other,6,3.6,COMEDK UGETKCET,1,3.86,7.44,5.65,3.0,,,
Janardan Rai Nagar Rajasthan Vidyapeeth University - JRNRVU,Udaipur,4,4.0,CBSE 12th / ISCRBSE 12th +1,3,96.0,3.37,49.68,4.0,,,
Vaagdevi Engineering College,Warangal,5,4.0,TS EAMCET,1,1.92,2.32,2.12,3.8,,,
St. Joseph'S College of Engineering and Technology,Thanjavur,6,3.2,CBSE 12th / ISCTamilnadu 12th +1,3,2.0,2.0,2.0,2.0,,,
"Central Institute of Plastics Engineering and Technology, Chennai",Chennai,2,3.8,CBSE 12th / ISCTamilnadu 12th +1,3,2.0,2.0,2.0,4.0,,,
Rayalaseema University,Kurnool,5,3.6,AP EAMCET,1,2.4,2.4,2.4,3.0,,,
Shaheed Bhagat Singh State Technical Campus,Ferozpur,8,3.4,CBSE 12th / ISCPSEB 12th +1,3,2.42,3.18,2.8,3.4,3.25,3.25,3.25
Ashoka Women's Engineering College,Kurnool,9,4.7,AP EAMCETCBSE 12th / BIEAP +2,4,2.0,2.0,2.0,4.6,,,
"University Institute of Technology, Shahdol (Constituent College of RGPV)",Shahdol,3,3.9,JEE Main / MP BEMPPET +2,4,6.06,6.06,6.06,3.1,,,
Bhai Gurdas Institute of Engineering and Technology,Sangrur,15,3.1,JEE Main / CBSE 12th / ISCPSEB 12th +3,6,1.5,2.4,1.95,2.5,,,
"Government College of Engineering, Dharmapuri",Dharmapuri,6,4.2,CBSE 12th / ISCTamilnadu 12th +1,3,2.0,2.0,2.0,3.2,,,
"Government Engineering College, Aravalli",Gujarat - Other,7,3.4,JEE Main / GUJCET,2,6.0,6.0,6.0,2.5,,,
"G H Raisoni College of Engineering and Management, Amravati",Amravati,5,3.6,MHT CETJEE Main,1,4.86,4.86,4.86,3.2,,,
Apollo Institute of Engineering and Technology,Gujarat - Other,5,3.7,JEE Main / GUJCET,2,2.44,2.44,2.44,3.3,,,
Rajshree Institute of Management and Technology,Bareilly,8,3.6,JEE Main / UPTAC,2,1.3,2.45,1.88,3.6,2.4,2.4,2.4
"Sant Gajanan Maharaj Education Group, Mahagaon",Kolhapur,7,4.0,MHT CETJEE Main,1,2.4,2.4,2.4,3.9,,,
Sri Shanmugha College of Engineering and Technology,Salem,8,3.6,CBSE 12th / ISCTamilnadu 12th +1,3,2.0,2.0,2.0,3.6,3.4,3.4,3.4
Malla Reddy College of Engineering For Women,Hyderabad,4,4.2,TS EAMCET,1,2.8,2.8,2.8,4.1,,,
Anand Institute of Higher Technology,Chennai,19,3.6,CBSE 12th / ISCTamilnadu 12th +1,3,2.0,4.12,3.06,3.6,4.75,4.75,4.75
"ITM Group of Institutions, Gwalior",Gwalior,7,3.9,JEE Main / MPPET,2,1.54,1.61,1.58,3.6,,,
"Annamacharya Institute of Technology and Sciences, Utukur",Kadapa,12,4.0,AP EAMCETCBSE 12th / BIEAP +2,4,1.71,1.72,1.72,3.6,,,
Dattakala Institute,Pune,7,4.0,MHT CETJEE Main / CAP Test +2,4,4.0,4.0,4.0,4.0,2.85,2.85,2.85
Dr. K.N Modi Institute of Engineering and Technology,Modinagar,9,3.1,JEE Main / UPTAC,2,2.45,3.12,2.78,3.1,5.75,5.75,5.75
"A.G. Patil Institute of Technology, Soregaon",Solapur,4,3.9,MHT CETJEE Main,1,2.87,2.87,2.87,3.9,3.6,3.6,3.6
Mar Baselios Christian College of Engineering And Technology,Idukki,7,4.1,KEAM,1,2.0,2.0,2.0,4.3,,,
"Carmel College of Engineering And Technology, Alappuzha",Kerala - Other,6,3.6,KEAM,1,3.0,3.0,3.0,3.0,,,
Sanketika Vidya Parishad Engineering College,Visakhapatnam,7,3.3,AP EAMCET,1,1.72,1.72,1.72,2.9,,,
"Institute of Technology, University of Kashmir, Zakura Campus",Srinagar,6,3.7,JEE Main,1,40.6,40.9,40.75,3.7,6.0,6.0,6.0
Er. Perumal Manimekalai College of Engineering,Tamil Nadu - Other,13,3.2,CBSE 12th / ISCTamilnadu 12th +1,3,2.0,2.0,2.0,3.2,2.16,2.16,2.16
Jawaharlal Nehru Government Engineering College,Sundernagar,2,3.6,JEE Main / HPCET,2,1.2,1.2,1.2,3.0,,,
"Vidharbha Institute of Technology ,Nagpur",Nagpur,6,1.8,MHT CETJEE Main,1,2.8,2.8,2.8,1.0,,,
Dr. K.V. Subba Reddy Institute of Technology (KVSRIT),Kurnool,7,4.2,AP EAMCETCBSE 12th / BIEAP +2,4,1.83,1.83,1.83,3.6,,,
"Aditya College Of Engineering, Madanapalle",Andhra Pradesh - Other,8,3.6,AP EAMCETCBSE 12th / BIEAP +2,4,1.4,1.72,1.56,3.6,3.25,3.25,3.25
Pace Institute of Technology and Sciences,Prakasam,11,4.0,JEE Main / AP EAMCET,2,1.52,1.74,1.63,4.0,3.3,3.3,3.3
B.B.S Group of Institution,Allahabad,2,3.3,JEE Main / CUET,2,3.26,3.26,3.26,3.0,,,
Dadi Institute of Engineering and Technology,Visakhapatnam,8,3.9,AP EAMCET,1,1.9,1.9,1.9,3.9,3.53,3.53,3.53
Sardarkrushinagar Dantiwada Agricultural University,Banaskantha,2,3.7,ICAR AIEEA,1,75.1,75.1,75.1,3.0,,,
Dr. T. Thimmaiah Institute of Technology,Karnataka - Other,7,3.7,COMEDK UGETKCET,1,3.86,3.86,3.86,3.7,3.0,3.0,3.0
"G H Raisoni University, Saikheda",Madhya Pradesh - Other,21,4.0,CBSE 12th / ISCMPBSE 12th +1,3,2.61,4.18,3.39,4.0,,,
Kasireddy Narayan Reddy College of Engineering and Research,Ranga Reddy,9,3.6,TS EAMCET,1,2.88,2.88,2.88,3.3,,,
G.C.R.G. Group of Institutions,Lucknow,11,3.9,JEE Main / UPTAC,2,2.45,2.45,2.45,3.9,2.7,2.7,2.7
United Institute of Technology,Coimbatore,6,3.9,CBSE 12th / ISCTamilnadu 12th +1,3,2.0,2.0,2.0,3.9,2.62,2.62,2.62
XIM University,Bhubaneswar,1,3.8,JEE Main,1,7.12,7.12,7.12,3.8,6.0,6.0,6.0
Global Institutes,Amritsar,7,4.4,CBSE 12th / ISCPSEB 12th +1,3,2.4,3.81,3.1,4.3,,,
Shivdan Singh Institute of Technology and Management,Aligarh,15,4.2,JEE Main / UPTACCUET +2,4,1.35,2.45,1.9,3.9,,,
NRI Institute of Technology,Vijayawada,7,4.2,AP EAMCET,1,1.7,1.7,1.7,4.2,4.0,4.0,4.0
"Padmashri Dr. V.B. Kolte College of Engineering, Malkapur",Maharashtra - Other,4,4.2,MHT CETJEE Main,1,2.32,2.32,2.32,4.2,3.5,3.5,3.5
Bharat Institute of Technology,Meerut,17,3.7,JEE Main / UPTAC,2,2.41,2.45,2.43,3.3,,,
SVU - Shri Venkateshwara University,Uttar Pradesh - Other,5,3.5,JEE Main / CUET,2,2.6,2.6,2.6,3.5,4.75,4.75,4.75
BABA Institute of Technology and Sciences,Visakhapatnam,7,4.0,AP EAMCET,1,1.72,1.72,1.72,3.8,,,
BIT Institute of Technology,Anantapur,5,4.1,AP EAMCET,1,1.51,2.01,1.76,4.0,,,
Sobhasaria Group of Institutions,Sikar,11,3.5,JEE Main / REAPCBSE 12th / ISCRBSE 12th +3,6,1.8,3.8,2.8,2.8,,,
Birla Institute of Applied Sciences,Nainital,2,3.6,CBSE 12th / ISCUK 12th +1,3,4.97,4.97,4.97,3.3,,,
DNR College of Engineering and Technology,Bhimavaram,8,3.7,AP EAMCETCBSE 12th / BIEAP +2,4,2.4,2.4,2.4,3.7,3.5,3.5,3.5
Mangayarkarasi College of Engineering,Madurai,10,4.1,CBSE 12th / ISCTamilnadu 12th +1,3,2.0,2.0,2.0,4.0,,,
"Government College Of Engineering, Bodinayakkanur",Theni,6,3.8,CBSE 12th / ISCTamilnadu 12th +1,3,2.0,2.0,2.0,3.8,2.58,2.58,2.58
Babu Banarasi Das Engineering College,Lucknow,5,3.8,JEE Main / Uni-GAUGE,2,4.51,4.51,4.51,3.6,,,
Jai Bharath College of Management And Engineering Technology,Kerala - Other,8,4.1,KEAM,1,2.0,2.0,2.0,4.1,2.0,2.0,2.0
Prayag Institute of Technology & Management,Allahabad,5,3.7,JEE Main / UPTAC,2,2.45,2.45,2.45,3.0,,,
Sardar Patel Education Campus,Anand,14,2.5,JEE Main / GUJCET,2,1.94,2.58,2.26,2.0,,,
"Institute of Technology Management, Aligarh (ITM Aligarh)",Aligarh,7,3.7,JEE Main / UPTAC,2,2.45,2.74,2.6,3.5,,,
Visvesvaraya College of Engineering and Technology,Ranga Reddy,8,3.6,TS EAMCET,1,2.56,2.56,2.56,2.9,,,
Asian College of Engineering and Technology,Coimbatore,9,4.6,CBSE 12th / ISCTamilnadu 12th +1,3,2.0,2.0,2.0,4.6,3.0,3.0,3.0
Dattakala Group of Institution,Maharashtra - Other,7,3.5,MHT CETJEE Main,1,3.31,3.31,3.31,2.7,,,
Gramin Technical and Management Campus,Nanded,9,3.5,MHT CETJEE Main / ICAR AIEEA +2,4,2.43,2.43,2.43,3.3,,,
"College of Food Science and Technology, Bapatla",Andhra Pradesh - Other,1,3.8,AP EAMCET,1,40.0,40.0,40.0,4.0,,,
Meri College of Engineering and Technology - MERI CET,Bahadurgarh,6,3.0,JEE Main / HSTES,2,2.16,2.59,2.38,3.0,,,
"College of Engineering and Technology, Sri Krishnadevaraya University",Anantapur,12,3.7,AP EAMCETAP ECET,1,1.4,1.4,1.4,3.7,3.45,3.45,3.45
Saharsa College of Engineering,Saharsa,6,4.0,JEE Main / BCECEBihar UGEAC +2,4,41.0,41.0,41.0,3.4,,,
Chaitanya University,Warangal,8,4.3,TS EAMCETCBSE 12th / ISCTSBIE +3,5,4.8,10.0,7.4,4.0,,,
Women Institute of Technology,Dehradun,5,3.4,CBSE 12th / ISCUK 12th +1,3,2.58,2.58,2.58,3.1,,,
BTL Institute of Technology and Management,Bangalore,6,3.0,COMEDK UGETKCET,1,3.86,3.86,3.86,2.1,,,
"Himalayan Group of Professional Institutions, Sirmour",Sirmour,11,3.5,JEE Main / HPCET,2,1.9,2.83,2.37,2.6,,,
JB Institute of Engineering and Technology,Hyderabad,9,4.0,TS EAMCET,1,3.84,3.84,3.84,4.0,4.5,4.5,4.5
"Mysore College of Engineering and Management, T Narsipura Road, Mysuru",Karnataka - Other,7,3.0,COMEDK UGETKCET,1,7.44,7.44,7.44,2.7,,,
PDM University,Bahadurgarh,18,3.2,JEE Main / CBSE 12th / ISCHBSE 12th +3,6,2.76,3.58,3.17,2.6,,,
Mangalore Marine College and Technology,Mangalore,3,1.9,COMEDK UGETKCET,1,3.86,3.86,3.86,1.4,,,
"Dr. NTR College of Food Science and Technology, Acharya N.G. Ranga Agricultural University",Guntur,1,3.8,AP EAMCETICAR AIEEA,1,58.56,58.56,58.56,3.8,4.5,4.5,4.5
"Malla Reddy Institute of Engineering and Technology, Secunderabad",Secunderabad,7,3.9,TS EAMCETTSEd / CET,2,1.8,2.4,2.1,3.9,3.5,3.5,3.5
"Alpha College of Engineering, Bangalore",Bangalore,11,2.7,COMEDK UGETKCET,1,1.95,3.86,2.9,2.1,,,
IES College of Engineering,Thrissur,8,3.9,KEAM,1,2.0,2.0,2.0,3.7,,,
"Pacific School of Engineering, Surat",Surat,5,3.3,JEE Main / GUJCET,2,2.21,2.21,2.21,3.3,1.8,1.8,1.8
Techno India NJR Institute of Technology,Udaipur,7,3.6,JEE Main / REAP,2,2.69,2.69,2.69,3.6,3.5,3.5,3.5
Siddhivinayak Technical Campus,Maharashtra - Other,7,3.6,MHT CETJEE Main,1,1.15,1.15,1.15,3.6,1.8,1.8,1.8
Sree Rama Engineering College,Tirupati,7,3.9,AP EAMCET,1,2.06,2.06,2.06,3.9,3.5,3.5,3.5
BM College of Technology,Indore,8,3.4,JEE Main / MPPETMP BE +2,4,91.2,1.37,46.28,3.4,,,
"School Of Food Technology JNTU, Kakinada",Kakinada,1,3.8,– / –,1,1.8,1.8,1.8,5.0,,,
NRI Institute of Information Science and Technology,Bhopal,13,3.6,JEE Main / MP BECBSE 12th / ISCMPBSE 12th / MPPET +5,9,1.2,1.2,1.2,3.6,3.0,3.0,3.0
Technological Institute of Textile and Sciences,Haryana - Other,8,3.9,JEE Main / HSTES,2,3.25,4.88,4.06,3.9,,,
Gangamai College of Engineering,Dhule,5,4.0,MHT CETJEE Main,1,1.87,1.87,1.87,3.5,,,
Sinhagad Institute of Technology,Maharashtra - Other,5,4.1,MHT CETJEE Main / CBSE 12th / ISCMaharashtra HSC +4,7,5.0,5.0,5.0,3.9,,,
GKM College of Engineering and Technology (GKMCET),Chennai,13,3.1,CBSE 12th / ISCTamilnadu 12th +1,3,2.0,2.0,2.0,3.1,3.1,3.1,3.1
ASBM University,Bhubaneswar,1,3.8,JEE Main / ASBMUEE,2,4.8,4.8,4.8,5.0,,,
P.A. College of Engineering and Technology (PACET),Coimbatore,9,4.0,CBSE 12th / ISCTamilnadu 12th +1,3,1.5,2.0,1.75,4.0,3.5,3.5,3.5
"Bhagwan Arihant Institute of Technology, Bhagwan Mahavir University",Surat,7,3.3,JEE Main / GUJCET,2,2.68,2.68,2.68,3.1,,,
Gujarat Power Engineering and Research Institute,Mehsana,2,4.0,JEE Main / GUJCET,2,1.6,1.6,1.6,4.0,2.64,2.64,2.64
Bishop Jerome Institute,Kollam,7,3.8,KEAM,1,3.0,3.0,3.0,3.7,,,
Dream Institute Of Technology,Kolkata,6,3.7,JEE Main / WBJEE,2,2.7,3.7,3.2,3.7,2.4,2.4,2.4
Konark Institute of Science and Technology (KIST),Bhubaneswar,6,3.4,JEE Main / OJEE,2,2.72,2.72,2.72,2.7,,,
"Malabar College of Engineering & Technology, Wadakancherry",Thrissur,14,3.0,KEAM,1,2.0,2.0,2.0,2.2,,,
BIET - Birbhum Institute of Engineering & Technology,West Bengal - Other,7,3.3,JEE Main / WBJEE,2,2.1,3.43,2.76,2.3,,,
Madhav University,Rajasthan - Other,1,3.8,CUET,1,3.0,3.0,3.0,5.0,,,
Sree Venkateswara College Of Engineering,Nellore,10,3.8,AP EAMCETCBSE 12th / BIEAP +2,4,1.4,1.72,1.56,3.7,,,
"Narayana Engineering College, Gudur",Andhra Pradesh - Other,8,4.1,AP EAMCET,1,1.72,1.72,1.72,4.1,3.2,3.2,3.2
"Government Engineering College, Mandya",Mandya,6,4.3,KCET,1,1.35,1.35,1.35,4.0,,,
"Tirumala Engineering College, Narasaraopeta",Narasaraopet,10,4.4,AP EAMCET,1,2.24,2.63,2.44,4.4,3.5,3.5,3.5
Madhyanchal Professional University,Bhopal,18,2.9,JEE Main / CBSE 12th / ISCMPBSE 12th +3,6,60.0,1.8,30.9,2.3,,,
Sri Ramakrishna College of Engineering,Tamil Nadu - Other,9,3.9,CBSE 12th / ISCTamilnadu 12th +1,3,2.0,2.0,2.0,3.5,,,
Megha Institute of Engineering and Technology For Women,Telangana - Other,8,3.8,TS EAMCET,1,2.48,2.48,2.48,3.7,,,
Malout Institute of Management and Information Technology,Muktsar,8,3.7,CBSE 12th / ISCPSEB 12th +1,3,2.4,2.42,2.41,3.1,,,
Smt Kamala and Sri Venkappa M. Agadi College of Engineering & Technology - SKSVMACET,Karnataka - Other,6,3.7,COMEDK UGETKCET,1,7.44,7.44,7.44,3.7,2.0,2.0,2.0
Govt. Engineering College Bharatpur,Bharatpur,8,3.5,JEE Main / REAP,2,1.9,1.96,1.93,3.2,,,
"R. L. Jalappa Institute of Technology, Bangalore",Karnataka - Other,6,4.4,COMEDK UGETKCET,1,4.0,10.46,7.23,4.2,,,
Maratha Mandal Engineering College - MMEC,Karnataka - Other,6,3.9,KCET,1,3.86,3.86,3.86,3.8,,,
